Goodness,Model
1900402778,"{'Cc': 1, 'RB1': 162000.0, 'RB2': 14000.0, 'RB3': 46400.0, 'RC': 1400.0, 'RE_deg': 64.9, 'RE': 226.0, 'trans_model': 'ZTX107-NOM'}"
1880434434,"{'Cc': 1, 'RB1': 274000.0, 'RB2': 19600.0, 'RB3': 121000.0, 'RC': 1100.0, 'RE_deg': 51.1, 'RE': 365.0, 'trans_model': 'ZTX107-NOM'}"
1879334607,"{'Cc': 1, 'RB1': 365000.0, 'RB2': 169000.0, 'RB3': 121000.0, 'RC': 1210.0, 'RE_deg': 46.4, 'RE': 301.0, 'trans_model': 'ZTX107-NOM'}"
1870390577,"{'Cc': 1, 'RB1': 226000.0, 'RB2': 14000.0, 'RB3': 22600.0, 'RC': 1210.0, 'RE_deg': 15.4, 'RE': 140.0, 'trans_model': 'ZTX107-NOM'}"
1864631051,"{'Cc': 1, 'RB1': 715000.0, 'RB2': 133000.0, 'RB3': 619000.0, 'RC': 1000.0, 'RE_deg': 33.2, 'RE': 1210.0, 'trans_model': 'ZTX107-NOM'}"
1864408912,"{'Cc': 1, 'RB1': 1100000.0, 'RB2': 19600.0, 'RB3': 464000.0, 'RC': 3320.0000000000005, 'RE_deg': 71.5, 'RE': 715.0, 'trans_model': 'ZTX107-NOM'}"
1864253744,"{'Cc': 1, 'RB1': 133000.0, 'RB2': 10500.0, 'RB3': 90900.0, 'RC': 1100.0, 'RE_deg': 59.0, 'RE': 536.0, 'trans_model': 'ZTX107-NOM'}"
1844915059,"{'Cc': 1, 'RB1': 162000.0, 'RB2': 82500.0, 'RB3': 28700.0, 'RC': 1150.0, 'RE_deg': 36.5, 'RE': 187.0, 'trans_model': 'ZTX107-NOM'}"
1828246903,"{'Cc': 1, 'RB1': 274000.0, 'RB2': 86600.0, 'RB3': 95300.0, 'RC': 2870.0, 'RE_deg': 10.5, 'RE': 226.0, 'trans_model': 'ZTX107-NOM'}"
1812727516,"{'Cc': 1, 'RB1': 383000.0, 'RB2': 18700.0, 'RB3': 287000.0, 'RC': 2050.0, 'RE_deg': 78.7, 'RE': 1100.0, 'trans_model': 'ZTX107-NOM'}"
1803192699,"{'Cc': 1, 'RB1': 1150000.0, 'RB2': 40200.0, 'RB3': 681000.0, 'RC': 1689.9999999999998, 'RE_deg': 64.9, 'RE': 169.0, 'trans_model': 'ZTX107-NOM'}"
1789673902,"{'Cc': 1, 'RB1': 169000.0, 'RB2': 48700.0, 'RB3': 30100.0, 'RC': 2870.0, 'RE_deg': 11.0, 'RE': 100.0, 'trans_model': 'ZTX107-NOM'}"
1785211742,"{'Cc': 1, 'RB1': 205000.0, 'RB2': 15400.0, 'RB3': 51100.0, 'RC': 2490.0, 'RE_deg': 13.3, 'RE': 215.0, 'trans_model': 'ZTX107-NOM'}"
1777776692,"{'Cc': 1, 'RB1': 147000.0, 'RB2': 17800.0, 'RB3': 48700.0, 'RC': 2490.0, 'RE_deg': 14.7, 'RE': 402.0, 'trans_model': 'ZTX107-NOM'}"
1774309511,"{'Cc': 1, 'RB1': 205000.0, 'RB2': 17800.0, 'RB3': 332000.0, 'RC': 1540.0, 'RE_deg': 10.0, 'RE': 590.0, 'trans_model': 'ZTX107-NOM'}"
1769065141,"{'Cc': 1, 'RB1': 169000.0, 'RB2': 86600.0, 'RB3': 95300.0, 'RC': 1050.0, 'RE_deg': 61.9, 'RE': 249.0, 'trans_model': 'ZTX107-NOM'}"
1762918692,"{'Cc': 1, 'RB1': 178000.0, 'RB2': 31600.0, 'RB3': 28700.0, 'RC': 3829.9999999999995, 'RE_deg': 11.0, 'RE': 178.0, 'trans_model': 'ZTX107-NOM'}"
1755680431,"{'Cc': 1, 'RB1': 365000.0, 'RB2': 21500.0, 'RB3': 4640000.0, 'RC': 2490.0, 'RE_deg': 402.0, 'RE': 3479.9999999999995, 'trans_model': 'ZTX107-NOM'}"
1751581555,"{'Cc': 1, 'RB1': 316000.0, 'RB2': 56200.0, 'RB3': 68100.0, 'RC': 3010.0, 'RE_deg': 12.7, 'RE': 162.0, 'trans_model': 'ZTX107-NOM'}"
1748091093,"{'Cc': 1, 'RB1': 75000.0, 'RB2': 22600.0, 'RB3': 24900.0, 'RC': 2050.0, 'RE_deg': 14.7, 'RE': 348.0, 'trans_model': 'ZTX107-NOM'}"
1743861568,"{'Cc': 1, 'RB1': 95300.0, 'RB2': 59000.0, 'RB3': 59000.0, 'RC': 2050.0, 'RE_deg': 11.5, 'RE': 787.0, 'trans_model': 'ZTX107-NOM'}"
1741665396,"{'Cc': 1, 'RB1': 1330000.0, 'RB2': 27400.0, 'RB3': 1689999.9999999998, 'RC': 4420.0, 'RE_deg': 121.0, 'RE': 301.0, 'trans_model': 'ZTX107-NOM'}"
1726741682,"{'Cc': 1, 'RB1': 86600.0, 'RB2': 16900.0, 'RB3': 19600.0, 'RC': 2870.0, 'RE_deg': 16.2, 'RE': 301.0, 'trans_model': 'ZTX107-NOM'}"
1726384089,"{'Cc': 1, 'RB1': 178000.0, 'RB2': 10500, 'RB3': 42200.0, 'RC': 2050.0, 'RE_deg': 13.3, 'RE': 274.0, 'trans_model': 'ZTX107-NOM'}"
1725773641,"{'Cc': 1, 'RB1': 147000.0, 'RB2': 11000.0, 'RB3': 59000.0, 'RC': 2260.0, 'RE_deg': 17.8, 'RE': 487.0, 'trans_model': 'ZTX107-NOM'}"
1722337423,"{'Cc': 1, 'RB1': 1150000.0, 'RB2': 19600.0, 'RB3': 562000.0, 'RC': 10500.0, 'RE_deg': 178.0, 'RE': 316.0, 'trans_model': 'ZTX107-NOM'}"
1717536244,"{'Cc': 1, 'RB1': 464000.0, 'RB2': 31600.0, 'RB3': 7500000.0, 'RC': 1150.0, 'RE_deg': 154.0, 'RE': 7870.0, 'trans_model': 'ZTX107-NOM'}"
1715904059,"{'Cc': 1, 'RB1': 274000.0, 'RB2': 487000.0, 'RB3': 274000.0, 'RC': 2050.0, 'RE_deg': 10.5, 'RE': 121.0, 'trans_model': 'ZTX107-NOM'}"
1715746408,"{'Cc': 1, 'RB1': 205000.0, 'RB2': 33200.0, 'RB3': 127000.0, 'RC': 1780.0, 'RE_deg': 14.7, 'RE': 442.0, 'trans_model': 'ZTX107-NOM'}"
1702126060,"{'Cc': 1, 'RB1': 110000.0, 'RB2': 71500.0, 'RB3': 68100.0, 'RC': 1689.9999999999998, 'RE_deg': 12.1, 'RE': 619.0, 'trans_model': 'ZTX107-NOM'}"
